seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 50, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 24, attack: NoAttack, defense: SystemAware, attack_params: None, defense_params: {'alpha':2.5,'sim_threshold':0.5}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/iid/MNIST_lenet_iid_NoAttack_SystemAware_100_50_0.01_FedOpt.txt

Started on Thu Sep 25 18:41:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 51 		Train Acc: 0.9571	Train loss: 0.0022	Test Acc: 0.9649	Test loss: 0.0017
Epoch 52 		Train Acc: 0.9577	Train loss: 0.0023	Test Acc: 0.9626	Test loss: 0.0019
Epoch 53 		Train Acc: 0.9566	Train loss: 0.0024	Test Acc: 0.9636	Test loss: 0.0018
Epoch 54 		Train Acc: 0.9586	Train loss: 0.0021	Test Acc: 0.9625	Test loss: 0.0018
Epoch 55 		Train Acc: 0.9564	Train loss: 0.0021	Test Acc: 0.9660	Test loss: 0.0016
Epoch 56 		Train Acc: 0.9607	Train loss: 0.0021	Test Acc: 0.9633	Test loss: 0.0018
Epoch 57 		Train Acc: 0.9566	Train loss: 0.0021	Test Acc: 0.9654	Test loss: 0.0017
Epoch 58 		Train Acc: 0.9609	Train loss: 0.0019	Test Acc: 0.9666	Test loss: 0.0016
Epoch 59 		Train Acc: 0.9599	Train loss: 0.0021	Test Acc: 0.9656	Test loss: 0.0017
Epoch 60 		Train Acc: 0.9605	Train loss: 0.0020	Test Acc: 0.9684	Test loss: 0.0016
Epoch 61 		Train Acc: 0.9622	Train loss: 0.0019	Test Acc: 0.9661	Test loss: 0.0016
Epoch 62 		Train Acc: 0.9650	Train loss: 0.0018	Test Acc: 0.9681	Test loss: 0.0015
Epoch 63 		Train Acc: 0.9598	Train loss: 0.0019	Test Acc: 0.9686	Test loss: 0.0015
Epoch 64 		Train Acc: 0.9625	Train loss: 0.0019	Test Acc: 0.9649	Test loss: 0.0018
Epoch 65 		Train Acc: 0.9626	Train loss: 0.0018	Test Acc: 0.9704	Test loss: 0.0015
Epoch 66 		Train Acc: 0.9648	Train loss: 0.0017	Test Acc: 0.9701	Test loss: 0.0015
Epoch 67 		Train Acc: 0.9629	Train loss: 0.0019	Test Acc: 0.9716	Test loss: 0.0014
Epoch 68 		Train Acc: 0.9673	Train loss: 0.0018	Test Acc: 0.9663	Test loss: 0.0016
Epoch 69 		Train Acc: 0.9677	Train loss: 0.0017	Test Acc: 0.9722	Test loss: 0.0014
Epoch 70 		Train Acc: 0.9658	Train loss: 0.0017	Test Acc: 0.9721	Test loss: 0.0013
Epoch 71 		Train Acc: 0.9668	Train loss: 0.0017	Test Acc: 0.9685	Test loss: 0.0015
Epoch 72 		Train Acc: 0.9684	Train loss: 0.0016	Test Acc: 0.9728	Test loss: 0.0013
Epoch 73 		Train Acc: 0.9681	Train loss: 0.0016	Test Acc: 0.9751	Test loss: 0.0012
Epoch 74 		Train Acc: 0.9701	Train loss: 0.0015	Test Acc: 0.9655	Test loss: 0.0016
Epoch 75 		Train Acc: 0.9661	Train loss: 0.0018	Test Acc: 0.9745	Test loss: 0.0012
Epoch 76 		Train Acc: 0.9703	Train loss: 0.0015	Test Acc: 0.9751	Test loss: 0.0012
Epoch 77 		Train Acc: 0.9703	Train loss: 0.0016	Test Acc: 0.9688	Test loss: 0.0015
Epoch 78 		Train Acc: 0.9681	Train loss: 0.0016	Test Acc: 0.9750	Test loss: 0.0012
