round,test_acc,test_loss,asr,asr_loss,round_time,active_clients,stragglers,dropouts,communication_cost_kb,energy_consumption_mj,anomaly_score,reputation_score,rejection_ratio
1,0.10349999999998964,2.3038020435330946,,,399.222021818161,90,,,31237.03125,1363.29609375,0.0,0.10349999999998964,0.0
2,0.10099999999998989,2.633629184341167,,,649.8581182956696,90,,,31063.4921875,1351.619140625,0.1649135704040363,0.10224999999998977,0.1537600466047616
3,0.11349999999998865,4.07752337036092,,,572.209853887558,90,,,31063.4921875,1351.619140625,1.0725385042825262,0.1059999999999894,0.9999999999990675
4,0.1628999999999837,2.581881724929551,,,647.9273171424866,90,,,31237.03125,1363.29609375,0.3173273558616323,0.12022499999998797,0.29586570048001426
5,0.16909999999998307,2.10063850440958,,,170.1140775680542,90,,,31063.4921875,1351.619140625,0.6388564611052825,0.129999999999987,0.5956489753550147
6,0.3248999999999675,1.8593439094541597,,,131.09787011146545,90,,,31063.4921875,1351.619140625,0.7912594292449155,0.17427999999998256,0.7377445435150043
7,0.3749999999999625,1.6933016687391493,,,127.70904469490051,90,,,31063.4921875,1351.619140625,0.7692361668395225,0.22907999999997708,0.717210770305524
8,0.2949999999999705,1.7350399583814793,,,127.94213008880615,90,,,31237.03125,1363.29609375,0.25900119480130446,0.26537999999997347,0.24148428589453916
9,0.47919999999995205,1.6742415540693516,,,135.70545434951782,90,,,31237.03125,1363.29609375,0.13827156494139237,0.32863999999996707,0.12891990766686748
10,0.4881999999999512,1.480660264968724,,,132.23936367034912,90,,,31237.03125,1363.29609375,0.20785720615384862,0.39245999999996073,0.19379929515229918
11,0.30839999999996914,1.889091089439203,,,129.51792001724243,90,,,31063.4921875,1351.619140625,0.19462418231962153,0.38915999999996104,0.1814612543440888
12,0.36159999999996384,1.860457495689206,,,132.8169400691986,90,,,31237.03125,1363.29609375,0.13255942317961322,0.38647999999996135,0.12359409256655558
13,0.5664999999999433,1.2300643808363638,,,133.62813019752502,90,,,31237.03125,1363.29609375,0.3968385761642057,0.4407799999999559,0.3699993749215563
14,0.7140999999999286,0.8121834611891887,,,135.78285765647888,90,,,31237.03125,1363.29609375,0.6423078772353485,0.48775999999995123,0.5988669634424183
15,0.6912999999999309,0.827715949535287,,,133.09037017822266,90,,,31237.03125,1363.29609375,0.4961865258025626,0.5283799999999472,0.46262817029028114
16,0.7305999999999269,0.7585428616046147,,,130.65434527397156,90,,,31237.03125,1363.29609375,0.33924996816631736,0.6128199999999386,0.3163056308108417
17,0.7622999999999237,0.7234129839896432,,,133.0790364742279,90,,,31237.03125,1363.29609375,0.1469709434413763,0.6929599999999307,0.13703092509443784
18,0.8826999999999117,0.4579788784741897,,,136.55790758132935,90,,,31063.4921875,1351.619140625,0.257987948484395,0.7561999999999243,0.24053956800062415
19,0.8512999999999148,0.46816253128047075,,,128.19189262390137,90,,,30889.953125,1339.9421875,0.1790001096963703,0.7836399999999216,0.16689387745192924
20,0.7946999999999205,0.6014558431624765,,,130.86719679832458,90,,,30889.953125,1339.9421875,0.0004547765398025261,0.8043199999999194,0.00042401884686305453
21,0.7375999999999262,0.8490906129836187,,,130.04409050941467,90,,,31237.03125,1363.29609375,0.22907044300553903,0.8057199999999194,0.21357782689448704
22,0.8429999999999157,0.49651481308932105,,,138.12221264839172,90,,,30889.953125,1339.9421875,0.07812572270869417,0.8218599999999178,0.07284188157038098
23,0.8913999999999108,0.3585241564511894,,,131.33073663711548,90,,,31063.4921875,1351.619140625,0.19622543494222577,0.8235999999999176,0.1829542101831651
24,0.8561999999999144,0.4265727016448548,,,125.64287114143372,90,,,30889.953125,1339.9421875,0.1198589238214372,0.8245799999999175,0.1117525602509767
25,0.9180999999999081,0.27905923328396864,,,124.62211537361145,90,,,29501.640625,1246.5265625,0.20289307020662184,0.8492599999999151,0.18917089633267556
26,0.9309999999999069,0.24363687709567494,,,166.88704657554626,90,,,28633.9453125,1188.141796875,0.11722467921732682,0.8879399999999112,0.10929647630285766
27,0.929399999999907,0.2442376609921211,,,206.01381182670593,90,,,26551.4765625,1048.018359375,0.06616846490144065,0.9052199999999093,0.06169332349111541
28,0.9218999999999078,0.2581482564747075,,,207.94083881378174,90,,,25336.703125,966.2796875,0.03218268942355784,0.9113199999999088,0.030006092364074536
29,0.9272999999999072,0.2438279245376343,,,215.2022008895874,90,,,24295.46875,896.21796875,0.009954065939186962,0.9255399999999074,0.00928084716719466
30,0.9230999999999077,0.2505728553831327,,,206.7647521495819,90,,,24121.9296875,884.541015625,0.0024881404864785517,0.9265399999999072,0.002319861223202118
31,0.9355999999999064,0.2283428750157128,,,210.73119807243347,90,,,21345.3046875,697.709765625,0.016683039464948896,0.9274599999999072,0.015554723115598955
32,0.9123999999999087,0.2724235031306471,,,210.3239085674286,90,,,26725.015625,1059.6953125,0.021760420222280252,0.9240599999999075,0.020288707711073346
33,0.919799999999908,0.25419640169141133,,,206.15887713432312,90,,,26551.4765625,1048.018359375,0.004323689739703707,0.9236399999999076,0.004031267616440497
