round,comm_kb,energy_mj,train_acc,train_loss,val_acc,val_loss
1,5206.171875,260.30859375,0.11609444444444444,2.2982243078655666,50.719999999994926,1.9372993608472793
2,5206.171875,260.30859375,0.8615111111111111,0.4872617979394065,90.61999999999092,0.3139589255094214
3,5206.171875,260.30859375,0.9653611111111111,0.11427303915111245,96.8999999999903,0.12479692963147743
4,5206.171875,260.30859375,0.9785833333333332,0.07411591913080257,97.66999999999022,0.09614981704026924
5,5206.171875,260.30859375,0.9846222222222223,0.05383362807041655,97.86999999999021,0.07502433315505454
6,5206.171875,260.30859375,0.9884722222222222,0.041926706718652146,98.10999999999018,0.06263804499944045
7,5206.171875,260.30859375,0.9877055555555555,0.04216459070818705,98.10999999999018,0.05944827391430141
8,5206.171875,260.30859375,0.9890166666666667,0.03887549015836169,98.18999999999018,0.06544090165490853
9,5206.171875,260.30859375,0.9894444444444445,0.03797378808027392,98.29999999999016,0.06367956170449651
10,5206.171875,260.30859375,0.9912111111111112,0.031064977049173062,98.42999999999014,0.050226144035365065
11,5206.171875,260.30859375,0.9911777777777778,0.029734221379474426,98.45999999999015,0.04871788116900229
12,5206.171875,260.30859375,0.9908777777777777,0.030854227035663404,98.40999999999015,0.05178647853054054
13,5206.171875,260.30859375,0.99065,0.0314932708889841,98.53999999999014,0.057621386134499755
14,5206.171875,260.30859375,0.9913500000000001,0.030520914301294316,98.58999999999014,0.047475023137004954
15,5206.171875,260.30859375,0.9929055555555556,0.025137718878995574,98.61999999999014,0.050209000198364884
16,5206.171875,260.30859375,0.9923166666666667,0.02698227117202801,98.63999999999014,0.04961894904367049
17,5206.171875,260.30859375,0.9928111111111111,0.02597683172389192,98.71999999999012,0.04641149141456671
18,5206.171875,260.30859375,0.9923777777777778,0.026278808262473384,98.69999999999013,0.04729439434318701
19,5206.171875,260.30859375,0.9925444444444445,0.02646327003696254,98.72999999999013,0.0463972975576883
20,5206.171875,260.30859375,0.9934388888888889,0.022994989526705145,98.74999999999012,0.04499999075691908
21,5206.171875,260.30859375,0.9936055555555555,0.022512264640889287,98.77999999999012,0.04294063959124221
22,5206.171875,260.30859375,0.9936222222222223,0.021933110565925017,98.77999999999012,0.04183555372192149
23,5206.171875,260.30859375,0.99465,0.01850170978830946,98.79999999999012,0.03815555317944727
24,5206.171875,260.30859375,0.9951833333333333,0.017243012222938708,98.80999999999011,0.03684615543768955
25,5206.171875,260.30859375,0.9951388888888889,0.017385128963463163,98.76999999999012,0.06540782778262437
26,5206.171875,260.30859375,0.9945888888888889,0.024591836697447838,98.62999999999013,0.22686057896611805
27,5206.171875,260.30859375,0.98805,0.05075171072194482,98.39999999999016,0.5171199548720796
28,5206.171875,260.30859375,0.9631666666666666,0.14702458995448736,97.72999999999023,1.0553355590819258
29,5206.171875,260.30859375,0.922988888888889,0.3078123320993864,93.8799999999906,2.0174575664518244
30,5206.171875,260.30859375,0.8999833333333334,0.4876450532168047,67.87999999999322,2.221046847915427
31,5206.171875,260.30859375,0.8780555555555556,0.6362749570729832,91.15999999999089,1.236761452865477
32,5206.171875,260.30859375,0.9617611111111111,0.1569550595600572,97.60999999999024,0.41386649494167
33,5206.171875,260.30859375,0.9762666666666667,0.09708636374261438,97.67999999999023,1.450866820144508
34,5206.171875,260.30859375,0.8454111111111111,0.5484923566515246,13.329999999998666,2.206288616561669
35,5206.171875,260.30859375,0.86095,0.5789666978288855,95.74999999999042,0.7998589935301934
36,5206.171875,260.30859375,0.9041777777777777,0.3342256936895247,96.59999999999033,1.9569727476118037
37,5206.171875,260.30859375,0.8753666666666666,0.5722666356001049,93.47999999999065,1.5356350070951832
38,5206.171875,260.30859375,0.9512,0.22612676585976862,96.44999999999035,0.374592014431916
39,5206.171875,260.30859375,0.9781444444444444,0.08466429240460403,97.80999999999021,0.1339125092983112
